"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2022","3.5305","3.4515","3.5505","3.4515","0.10K","2.81%"
"09/07/2022","3.4340","3.4070","3.4555","3.4070","0.20K","-0.88%"
"09/06/2022","3.4645","3.3920","3.4950","3.3915","0.20K","0.32%"
"09/05/2022","3.4535","3.3887","3.4660","3.3857","","1.91%"
"09/04/2022","3.3887","3.3950","3.4000","3.3613","","-0.83%"
"09/02/2022","3.4170","3.4180","3.4545","3.3895","0.16K","0.25%"
"09/01/2022","3.4085","3.5025","3.5025","3.4120","0.21K","-3.14%"
"08/31/2022","3.5190","3.5695","3.5820","3.4495","0.36K","-0.86%"
"08/30/2022","3.5495","3.6085","3.6085","3.5365","0.34K","-1.64%"
"08/29/2022","3.6085","3.6990","3.6990","3.5640","0.78K","-2.39%"
"08/26/2022","3.6970","3.7020","3.7825","3.6815","0.52K","-0.04%"
"08/25/2022","3.6985","3.6435","3.7050","3.6435","0.49K","1.38%"
"08/24/2022","3.6480","3.6810","3.6810","3.6370","0.41K","-1.30%"
"08/23/2022","3.6960","3.6560","3.7270","3.6405","0.44K","1.18%"
"08/22/2022","3.6530","3.6650","3.6830","3.6095","0.28K","-0.42%"
"08/19/2022","3.6685","3.6415","3.6700","3.6275","0.10K","0.96%"
"08/18/2022","3.6335","3.5710","3.6590","3.5710","0.15K","1.30%"
"08/17/2022","3.5870","3.6345","3.6420","3.5780","0.23K","-1.09%"
"08/16/2022","3.6265","3.6025","3.6390","3.6025","0.36K","0.14%"
"08/15/2022","3.6215","3.6255","3.6255","3.5655","0.16K","-1.42%"
"08/12/2022","3.6735","3.6985","3.7050","3.6520","0.17K","-1.02%"
"08/11/2022","3.7115","3.6490","3.7110","3.6490","0.14K","1.53%"
"08/10/2022","3.6555","3.5950","3.6605","3.5755","0.18K","1.75%"
"08/09/2022","3.5925","3.5895","3.6300","3.5850","0.08K","-0.01%"
"08/08/2022","3.5930","3.5725","3.6220","3.5460","0.12K","0.96%"
"08/05/2022","3.5590","3.4815","3.5750","3.4815","0.14K","2.04%"
"08/04/2022","3.4880","3.4420","3.5110","3.4420","0.20K","0.46%"
"08/03/2022","3.4720","3.5135","3.5150","3.4585","0.11K","-1.43%"
"08/02/2022","3.5225","3.5400","3.5400","3.4650","0.06K","-0.69%"
"08/01/2022","3.5470","3.5530","3.5670","3.5245","0.05K","-0.78%"
"07/29/2022","3.5750","3.5005","3.5960","3.4765","0.28K","2.70%"
"07/28/2022","3.4810","3.4810","3.5200","3.4760","0.26K","1.49%"
"07/27/2022","3.4300","3.3925","3.4780","3.3680","57.76K","1.34%"
"07/26/2022","3.3845","3.3675","3.4655","3.3490","64.28K","0.89%"
"07/25/2022","3.3545","3.3230","3.4050","3.3135","55.13K","0.15%"
"07/22/2022","3.3495","3.3050","3.3990","3.2955","60.95K","1.55%"
"07/21/2022","3.2985","3.3135","3.3240","3.2505","53.92K","-0.80%"
"07/20/2022","3.3250","3.2945","3.3755","3.2915","61.78K","1.03%"
"07/19/2022","3.2910","3.3155","3.3280","3.2530","56.25K","-1.64%"
"07/18/2022","3.3460","3.2465","3.3710","3.2170","62.48K","3.46%"
"07/15/2022","3.2340","3.2285","3.2775","3.1315","80.37K","0.70%"
"07/14/2022","3.2115","3.3105","3.3300","3.1745","71.20K","-3.34%"
"07/13/2022","3.3225","3.2610","3.3430","3.2165","87.21K","1.05%"
"07/12/2022","3.2880","3.4255","3.4570","3.2465","61.62K","-4.15%"
"07/11/2022","3.4305","3.5050","3.5205","3.3865","60.90K","-2.60%"
"07/08/2022","3.5220","3.5430","3.5715","3.4440","58.22K","-1.40%"
"07/07/2022","3.5720","3.4410","3.5800","3.3965","90.16K","4.81%"
"07/06/2022","3.4080","3.4265","3.4595","3.2730","82.34K","-0.20%"
"07/05/2022","3.4150","3.6150","3.6235","3.4000","107.35K","-4.72%"
"07/04/2022","3.5840","3.6117","3.6172","3.5457","","-0.76%"
"07/03/2022","3.6115","3.6120","3.6235","3.6080","","0.21%"
"07/01/2022","3.6040","3.6780","3.7025","3.5535","68.28K","-2.86%"
"06/30/2022","3.7100","3.7720","3.7950","3.6725","55.88K","-1.86%"
"06/29/2022","3.7805","3.7580","3.8190","3.7080","49.66K","0.05%"
"06/28/2022","3.7785","3.7550","3.8495","3.7425","0.96K","0.39%"
"06/27/2022","3.7640","3.7845","3.8125","3.7425","0.70K","0.53%"
"06/24/2022","3.7440","3.7570","3.7905","3.6545","0.39K","0.04%"
"06/23/2022","3.7425","3.9380","3.9380","3.7365","0.35K","-5.18%"
"06/22/2022","3.9470","4.0145","4.0145","3.8925","0.69K","-2.41%"
"06/21/2022","4.0445","4.0300","4.0860","3.9720","1.04K","0.84%"
"06/20/2022","4.0110","4.0385","4.0385","3.9460","","-0.66%"
"06/19/2022","4.0375","4.0228","4.0400","4.0180","","0.39%"
"06/17/2022","4.0220","4.1210","4.1210","4.0130","0.36K","-2.33%"
"06/16/2022","4.1180","4.1855","4.2230","4.0620","1.59K","-1.33%"
"06/15/2022","4.1735","4.1485","4.2125","4.1450","0.50K","0.17%"
"06/14/2022","4.1665","4.2125","4.2595","4.1400","0.54K","-1.26%"
"06/13/2022","4.2195","4.2400","4.2685","4.1870","0.17K","-1.93%"
"06/10/2022","4.3025","4.3650","4.3865","4.2860","0.27K","-1.90%"
"06/09/2022","4.3860","4.4240","4.4300","4.3650","0.10K","-1.54%"
"06/08/2022","4.4545","4.4395","4.4550","4.4130","0.36K","0.34%"
"06/07/2022","4.4395","4.4090","4.4600","4.3795","0.30K","0.01%"
"06/06/2022","4.4390","4.4630","4.4670","4.4110","0.42K","-0.84%"
"06/03/2022","4.4765","4.5610","4.5790","4.4675","0.09K","-1.72%"
"06/02/2022","4.5550","4.3540","4.5710","4.3540","0.65K","5.21%"
"06/01/2022","4.3295","4.2750","4.3480","4.2675","0.16K","0.71%"
"05/31/2022","4.2990","4.3550","4.3590","4.2805","0.59K","-0.81%"
"05/30/2022","4.3340","4.3225","4.3595","4.3098","","0.25%"
"05/29/2022","4.3232","4.3215","4.3260","4.3170","","0.39%"
"05/27/2022","4.3065","4.2800","4.3130","4.2670","0.28K","1.12%"
"05/26/2022","4.2590","4.2685","4.2800","4.2035","41.96K","0.11%"
"05/25/2022","4.2545","4.3140","4.3225","4.2230","44.20K","-1.17%"
"05/24/2022","4.3050","4.3410","4.3415","4.2565","45.14K","-0.93%"
"05/23/2022","4.3455","4.2945","4.3550","4.2720","50.50K","1.65%"
"05/20/2022","4.2750","4.2775","4.3275","4.2505","45.49K","-0.19%"
"05/19/2022","4.2830","4.1550","4.2980","4.1445","56.57K","2.50%"
"05/18/2022","4.1785","4.2295","4.2480","4.1315","45.56K","-1.43%"
"05/17/2022","4.2390","4.2030","4.2835","4.2030","45.16K","1.13%"
"05/16/2022","4.1915","4.1795","4.2200","4.1335","41.78K","0.40%"
"05/13/2022","4.1750","4.0860","4.1850","4.0550","49.92K","1.82%"
"05/12/2022","4.1005","4.2115","4.2230","4.0370","67.53K","-2.58%"
"05/11/2022","4.2090","4.1550","4.2500","4.1485","54.18K","1.31%"
"05/10/2022","4.1545","4.1960","4.2580","4.1285","57.71K","-0.93%"
"05/09/2022","4.1935","4.2380","4.2450","4.1240","68.33K","-1.72%"
"05/06/2022","4.2670","4.2905","4.3190","4.2310","47.86K","-0.57%"
"05/05/2022","4.2915","4.3670","4.4400","4.2765","61.50K","-1.07%"
"05/04/2022","4.3380","4.2990","4.3835","4.2510","50.39K","1.28%"
"05/03/2022","4.2830","4.2855","4.3600","4.2635","52.69K","0.35%"
"05/02/2022","4.2680","4.3930","4.4040","4.2040","47.30K","-3.19%"
"04/29/2022","4.4085","4.4440","4.5120","4.3715","49.49K","-0.56%"
"04/28/2022","4.4335","4.4645","4.4935","4.3865","50.92K","-0.75%"
"04/27/2022","4.4670","4.4155","4.4970","4.4155","1.44K","0.30%"
"04/26/2022","4.4535","4.4870","4.5345","4.4000","0.82K","-0.19%"
"04/25/2022","4.4620","4.5785","4.6070","4.4200","1.48K","-2.84%"
"04/22/2022","4.5925","4.6810","4.7135","4.5820","0.40K","-2.57%"
"04/21/2022","4.7135","4.6800","4.7240","4.6430","0.57K","1.05%"
"04/20/2022","4.6645","4.7150","4.7180","4.6360","1.07K","-1.37%"
"04/19/2022","4.7295","4.8135","4.8170","4.6960","0.75K","-1.71%"
"04/18/2022","4.8120","4.7815","4.8425","4.6995","0.23K","1.94%"
"04/15/2022","4.7205","4.7205","4.7205","4.7205","","-0.24%"
"04/14/2022","4.7320","4.7140","4.7360","4.6795","0.21K","0.22%"
"04/13/2022","4.7215","4.7055","4.7600","4.6840","0.25K","0.04%"
"04/12/2022","4.7195","4.6465","4.7250","4.6360","0.34K","1.69%"
"04/11/2022","4.6410","4.7395","4.7395","4.6365","0.26K","-1.91%"
"04/08/2022","4.7315","4.7230","4.7555","4.7170","0.14K","0.58%"
"04/07/2022","4.7040","4.7065","4.7240","4.6880","0.69K","-0.78%"
"04/06/2022","4.7410","4.7405","4.7810","4.7045","0.34K","-1.16%"
"04/05/2022","4.7965","4.7875","4.8365","4.7565","0.23K","0.29%"
"04/04/2022","4.7825","4.6930","4.8070","4.6930","0.21K","1.96%"
"04/01/2022","4.6905","4.7170","4.7500","4.6815","0.27K","-1.29%"
"03/31/2022","4.7520","4.7165","4.7540","4.7150","0.15K","-0.01%"
"03/30/2022","4.7525","4.7535","4.8195","4.7325","0.11K","0.45%"
"03/29/2022","4.7310","4.7245","4.7575","4.6990","37.96K","0.12%"
"03/28/2022","4.7255","4.6960","4.7390","4.6420","45.40K","0.57%"
"03/25/2022","4.6985","4.7275","4.7730","4.6860","37.05K","-0.93%"
"03/24/2022","4.7425","4.7760","4.8175","4.7085","43.51K","-0.71%"
"03/23/2022","4.7765","4.7100","4.7855","4.6890","33.27K","1.63%"
"03/22/2022","4.7000","4.7040","4.7690","4.6800","38.07K","-0.22%"
"03/21/2022","4.7105","4.7270","4.7320","4.6560","32.80K","-0.61%"
"03/18/2022","4.7395","4.7020","4.7600","4.6730","39.26K","0.80%"
"03/17/2022","4.7020","4.6210","4.7170","4.6105","45.49K","2.21%"
"03/16/2022","4.6005","4.5010","4.6405","4.4985","46.02K","1.94%"
"03/15/2022","4.5130","4.5155","4.5430","4.4685","47.63K","-0.22%"
"03/14/2022","4.5230","4.5980","4.6155","4.4960","50.65K","-2.22%"
"03/11/2022","4.6255","4.6335","4.7240","4.5945","40.58K","-0.58%"
"03/10/2022","4.6525","4.5965","4.6785","4.5740","45.46K","1.75%"
"03/09/2022","4.5725","4.7105","4.7885","4.5530","60.81K","-2.92%"
"03/08/2022","4.7100","4.7450","4.9670","4.6030","89.60K","-0.44%"
"03/07/2022","4.7310","4.9200","5.0395","4.6680","96.67K","-4.18%"
"03/04/2022","4.9375","4.7825","4.9490","4.7510","97.43K","3.26%"
"03/03/2022","4.7815","4.6710","4.7985","4.6615","91.70K","2.49%"
"03/02/2022","4.6655","4.5710","4.7050","4.5525","79.62K","1.50%"
"03/01/2022","4.5965","4.5060","4.6020","4.4920","69.00K","3.19%"
"02/28/2022","4.4545","4.4925","4.5320","4.4500","59.50K","-0.68%"
"02/25/2022","4.4850","4.5075","4.5285","4.4560","57.82K","0.61%"
"02/24/2022","4.4580","4.4685","4.5835","4.4465","0.88K","-0.61%"
"02/23/2022","4.4855","4.5170","4.5355","4.4550","1.12K","-0.64%"
"02/22/2022","4.5145","4.5130","4.5470","4.4780","1.43K","0.76%"
"02/21/2022","4.4805","4.5205","4.5440","4.4675","","-0.88%"
"02/20/2022","4.5205","4.5165","4.5217","4.5060","","-0.08%"
"02/18/2022","4.5240","4.5065","4.5720","4.5065","0.19K","-0.06%"
"02/17/2022","4.5265","4.5465","4.5465","4.4760","0.25K","-0.29%"
"02/16/2022","4.5395","4.5350","4.5885","4.5205","0.33K","0.11%"
"02/15/2022","4.5345","4.4825","4.5415","4.4825","0.21K","0.61%"
"02/14/2022","4.5070","4.4695","4.5125","4.4510","0.18K","-0.03%"
"02/11/2022","4.5085","4.6120","4.6120","4.4610","0.48K","-3.21%"
"02/10/2022","4.6580","4.6170","4.6990","4.5865","0.55K","1.22%"
"02/09/2022","4.6020","4.4560","4.6325","4.4295","0.31K","3.08%"
"02/08/2022","4.4645","4.4815","4.4825","4.4170","0.28K","-0.07%"
"02/07/2022","4.4675","4.5105","4.5145","4.4500","0.32K","-0.50%"
"02/04/2022","4.4900","4.5040","4.5125","4.4305","0.20K","0.40%"
"02/03/2022","4.4720","4.4785","4.4785","4.4600","0.12K","-0.48%"
"02/02/2022","4.4935","4.4365","4.5015","4.4365","0.22K","1.40%"
"02/01/2022","4.4315","4.3300","4.4415","4.3275","0.18K","2.43%"
"01/31/2022","4.3265","4.3360","4.3490","4.2870","0.17K","0.32%"
"01/28/2022","4.3125","4.4120","4.4120","4.3080","0.46K","-2.51%"
"01/27/2022","4.4235","4.4570","4.4910","4.3990","69.84K","-2.03%"
"01/26/2022","4.5150","4.4565","4.5345","4.4190","62.13K","1.46%"
"01/25/2022","4.4500","4.4560","4.4780","4.3855","54.59K","0.85%"
"01/24/2022","4.4125","4.5220","4.5380","4.3865","79.00K","-2.46%"
"01/21/2022","4.5240","4.5295","4.5805","4.4840","68.20K","-1.28%"
"01/20/2022","4.5825","4.4490","4.5860","4.4440","73.19K","2.52%"
"01/19/2022","4.4700","4.4035","4.4885","4.3920","61.27K","2.00%"
"01/18/2022","4.3825","4.4310","4.4490","4.3760","87.04K","-1.15%"
"01/17/2022","4.4335","4.4443","4.4455","4.3827","","-0.23%"
"01/16/2022","4.4435","4.4280","4.4470","4.4280","","0.52%"
"01/14/2022","4.4205","4.5115","4.5475","4.4125","70.02K","-2.76%"
"01/13/2022","4.5460","4.5570","4.5770","4.5045","62.79K","-0.67%"
"01/12/2022","4.5765","4.4315","4.6010","4.4200","106.93K","3.33%"
"01/11/2022","4.4290","4.3720","4.4385","4.3660","46.66K","1.77%"
"01/10/2022","4.3520","4.4015","4.4310","4.3305","45.32K","-1.32%"
"01/07/2022","4.4100","4.3540","4.4175","4.3435","46.40K","1.27%"
"01/06/2022","4.3545","4.3920","4.4080","4.3135","56.25K","-1.34%"
"01/05/2022","4.4135","4.4725","4.4730","4.3720","51.73K","-1.37%"
"01/04/2022","4.4750","4.4245","4.4785","4.3780","55.94K","1.21%"
"01/03/2022","4.4215","4.4585","4.4805","4.3350","38.42K","-0.94%"
